Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Budget
17,owner,24,31,married,no_rec,fixed,45,115,300,0,600,1642
1,parents,60,17,married,no_rec,partime,35,195,120000,0,1550,1550
2,rent,60,23,single,no_rec,fixed,47,115,0,0,1000,1015
1,other,24,19,single,no_rec,fixed,35,114,0,0,400,550
2,parents,60,30,married,no_rec,partime,45,85,0,0,1000,1542
12,owner,12,45,married,no_rec,freelance,75,200,17000,3000,1250,1721
15,owner,24,36,married,yes_rec,partime,45,180,6000,0,700,1888
30,owner,60,54,married,no_rec,freelance,45,250,10000,0,1000,1098
12,owner,24,51,married,yes_rec,fixed,60,124,1000,0,500,1495
17,other,60,41,married,no_rec,fixed,75,155,0,0,2000,2086
2,owner,60,28,married,no_rec,partime,45,77,2500,0,1000,1197
12,owner,36,42,married,no_rec,fixed,75,124,3500,0,460,470
25,owner,24,43,married,no_rec,fixed,35,97,3500,0,225,525
2,priv,48,32,married,yes_rec,partime,75,115,2000,0,850,1194
11,owner,60,32,married,no_rec,fixed,90,289,7000,250,1200,1599
30,rent,36,48,married,no_rec,partime,70,95,0,0,800,800
22,owner,24,35,married,no_rec,fixed,75,190,3000,0,1000,1500
0,parents,36,17,single,no_rec,partime,35,105,3000,0,750,1092
2,owner,60,29,married,no_rec,fixed,60,176,4000,450,1800,2271
2,owner,48,52,married,no_rec,fixed,45,184,4000,0,1000,1500
3,rent,60,36,married,yes_rec,fixed,77,166,0,0,2200,2625
0,owner,60,26,married,no_rec,fixed,60,105,3500,0,1100,1170
5,rent,24,26,married,no_rec,fixed,84,90,0,0,400,2230
31,owner,48,52,married,yes_rec,freelance,60,230,19400,1781,600,887
23,owner,60,45,married,no_rec,fixed,45,90,3000,0,950,1101
4,parents,24,35,single,no_rec,fixed,35,150,5500,600,500,1672
5,parents,60,16,single,no_rec,fixed,45,56,0,0,1400,2067
4,rent,60,29,single,no_rec,fixed,43,80,0,0,1500,2218
0,owner,12,60,married,no_rec,others,60,115,3500,0,200,431
25,rent,36,50,married,no_rec,freelance,35,22,3000,0,500,600
1,rent,60,16,single,no_rec,fixed,46,110,0,0,1450,1517
0,parents,36,30,single,no_rec,freelance,35,43,0,0,875,950
5,parents,36,22,single,no_rec,partime,35,60,0,0,500,1569
10,owner,60,57,married,no_rec,fixed,60,78,6000,0,1130,1130
11,parents,30,22,single,no_rec,fixed,35,117,0,0,600,1293
1,parents,60,21,single,no_rec,partime,35,267,0,0,2400,2599
1,owner,24,34,married,no_rec,others,35,70,4000,0,525,1771
28,owner,24,48,married,no_rec,fixed,75,110,3500,0,500,788
13,rent,60,26,divorced,yes_rec,freelance,41,55,0,0,1350,1428
4,owner,48,37,married,no_rec,fixed,35,111,3500,0,1000,1683
6,parents,60,33,married,no_rec,freelance,105,164,0,0,480,1481
1,parents,48,13,single,no_rec,partime,45,95,4000,0,600,1472
4,owner,60,32,married,no_rec,fixed,75,116,3000,575,950,950
1,parents,60,15,single,no_rec,fixed,35,65,0,0,1000,1479
6,owner,36,32,married,no_rec,freelance,75,63,4000,50,800,1637
10,owner,24,45,married,no_rec,freelance,45,102,6000,0,1000,2445
1,parents,36,23,married,yes_rec,fixed,60,95,4000,0,500,625
1,parents,48,19,single,no_rec,fixed,35,75,0,0,1050,1429
4,parents,60,20,married,no_rec,freelance,35,95,25000,0,1650,1900
5,parents,60,20,single,no_rec,fixed,35,75,0,0,1200,1300
6,owner,60,24,married,no_rec,fixed,60,220,15000,4500,1200,1256
18,owner,36,29,married,no_rec,fixed,60,130,6000,0,650,1601
4,rent,48,28,married,no_rec,fixed,58,133,0,0,1500,1784
2,parents,36,23,single,yes_rec,fixed,35,51,0,0,325,525
12,owner,48,30,separated,no_rec,freelance,45,500,200000,0,2380,4786
17,owner,60,41,married,yes_rec,fixed,75,80,3000,0,900,1286
0,owner,48,38,married,no_rec,partime,75,71,14000,0,1100,1660
2,owner,60,25,married,yes_rec,freelance,45,98,5000,700,1000,2200
25,owner,36,41,married,no_rec,fixed,90,145,12000,0,1100,2400
25,owner,36,48,married,no_rec,fixed,45,350,74,0,1000,2475
14,rent,60,41,married,no_rec,freelance,67,67,0,0,1500,2250
4,owner,60,50,widow,no_rec,others,35,232,1,0,1200,1318
1,rent,60,51,married,no_rec,partime,88,133,0,0,750,784
3,parents,60,31,married,no_rec,fixed,75,180,0,0,1200,1372
10,owner,60,30,separated,no_rec,fixed,35,300,5000,2500,1350,1369
2,owner,36,37,married,no_rec,fixed,75,220,3500,0,1500,2195
20,owner,60,44,married,no_rec,freelance,90,215,4500,0,1000,1228
0,other,60,26,single,no_rec,partime,35,128,0,0,900,982
15,owner,60,35,married,yes_rec,freelance,75,1,16000,0,1150,1850
1,owner,60,22,married,no_rec,fixed,35,90,2000,0,1150,1470
19,owner,36,28,married,no_rec,fixed,60,115,6700,2000,1000,2084
21,owner,60,58,married,yes_rec,fixed,60,165,3000,0,1250,1424
1,rent,60,19,married,no_rec,fixed,57,124,0,0,1350,1427
2,parents,60,19,single,no_rec,fixed,35,67,0,0,316,1080
1,other,60,31,married,no_rec,fixed,60,101,0,0,850,1098
1,ignore,60,23,married,yes_rec,freelance,45,124,4000,0,1500,1661
19,owner,24,30,married,no_rec,fixed,60,90,4000,0,200,1147
0,owner,36,31,married,no_rec,fixed,75,424,9500,700,1000,1690
8,parents,48,21,single,no_rec,fixed,35,78,0,0,500,1800
3,rent,48,46,married,no_rec,freelance,90,169,0,0,1200,1240
4,parents,18,24,married,no_rec,freelance,75,115,0,0,175,225
0,parents,24,16,single,no_rec,fixed,35,160,0,0,900,1681
18,rent,60,48,married,no_rec,fixed,71,107,4000,0,1300,1450
0,other,60,42,widow,yes_rec,freelance,45,102,0,0,1500,1600
5,rent,60,34,married,no_rec,fixed,93,178,0,0,1100,1338
18,other,60,38,married,no_rec,fixed,75,160,0,0,2000,2240
23,owner,60,52,married,no_rec,fixed,35,99,2500,0,900,1077
10,owner,60,28,single,no_rec,fixed,45,219,4000,0,950,1104
3,owner,48,25,married,no_rec,fixed,75,88,6000,400,1200,1796
10,other,60,43,married,no_rec,fixed,35,203,4000,1500,1520,1636
15,owner,48,28,married,no_rec,fixed,75,150,3000,0,1000,1670
15,owner,48,25,married,no_rec,freelance,75,100,27000,5000,900,900
3,rent,48,38,married,no_rec,partime,73,126,0,0,1300,1770
13,owner,48,31,married,no_rec,fixed,45,124,3000,0,700,1365
27,owner,12,40,married,no_rec,fixed,60,142,5000,0,400,985
0,ignore,36,40,married,no_rec,partime,75,87,1500,0,300,480
15,rent,18,50,married,no_rec,freelance,102,120,20000,0,1150,1366
0,owner,60,29,married,yes_rec,partime,35,165,8000,2000,1450,1800
2,owner,12,25,married,no_rec,fixed,35,110,15000,0,700,1355
5,parents,60,18,single,no_rec,fixed,35,120,0,0,1300,2100
8,parents,60,27,separated,no_rec,fixed,75,118,3500,0,1350,1729
3,parents,60,30,single,no_rec,fixed,35,190,2500,0,1400,1561
23,owner,48,42,married,no_rec,fixed,105,139,2500,0,750,940
20,rent,36,34,married,no_rec,fixed,91,158,0,0,380,580
1,rent,48,41,married,no_rec,fixed,103,125,1500,0,1100,1408
13,priv,60,35,married,no_rec,fixed,60,100,3500,540,970,1270
7,owner,36,44,widow,no_rec,fixed,35,108,12000,0,350,875
5,rent,36,27,married,no_rec,fixed,61,159,0,0,800,890
5,owner,36,30,separated,no_rec,freelance,45,99,2000,0,750,975
16,owner,60,43,married,no_rec,freelance,45,273,7000,0,2000,2529
13,rent,48,23,married,yes_rec,fixed,54,190,0,0,800,1157
4,rent,60,29,married,no_rec,partime,84,85,0,0,800,1293
0,owner,36,27,married,no_rec,others,75,74,4000,0,500,1104
10,priv,60,41,married,no_rec,fixed,75,66,5500,1700,1250,1525
3,parents,60,18,single,no_rec,fixed,35,107,0,0,700,1783
10,rent,48,33,married,no_rec,freelance,78,333,0,0,700,1386
1,other,42,19,single,yes_rec,fixed,35,60,0,0,1200,1616
10,priv,36,33,married,yes_rec,fixed,60,117,4030,0,950,1330
0,rent,36,21,married,no_rec,partime,80,195,0,0,600,785
5,parents,24,21,single,yes_rec,fixed,35,104,0,0,1000,1314
14,owner,60,23,married,no_rec,fixed,35,216,4000,0,1750,2270
4,owner,60,30,married,no_rec,fixed,35,85,5500,900,1500,1810
1,parents,36,16,single,no_rec,partime,35,92,2000,0,700,1162
4,rent,60,47,married,no_rec,fixed,97,72,0,0,1200,1200
9,rent,48,18,married,no_rec,fixed,65,197,0,0,400,2305
20,owner,60,31,married,no_rec,fixed,75,250,2500,0,1350,1381
9,parents,60,21,married,no_rec,fixed,35,180,0,0,1300,1512
8,priv,60,27,married,no_rec,fixed,35,95,2500,480,950,1350
8,owner,24,41,married,no_rec,freelance,75,184,15000,0,1000,1603
0,parents,12,17,single,no_rec,others,35,42,0,0,200,748
30,owner,60,56,married,yes_rec,freelance,35,169,60000,0,950,1015
1,owner,48,54,married,no_rec,others,35,33,6000,0,850,900
7,priv,36,19,single,no_rec,freelance,35,131,7500,0,1350,1406
6,rent,24,23,married,no_rec,fixed,62,166,0,0,500,1150
0,rent,48,32,married,no_rec,partime,60,154,0,0,1870,2217
18,owner,36,33,married,no_rec,fixed,60,104,6000,0,750,1367
2,parents,36,17,single,no_rec,fixed,35,52,0,0,800,1762
25,owner,60,45,married,yes_rec,freelance,75,314,10000,0,1350,1417
7,owner,18,28,married,no_rec,freelance,60,164,4000,0,550,1679
11,rent,60,23,married,no_rec,fixed,59,144,0,0,1225,1360
17,owner,60,36,married,no_rec,freelance,75,250,13500,3700,1400,2050
10,priv,36,42,married,yes_rec,fixed,45,60,5000,0,250,1343
12,owner,60,32,married,no_rec,freelance,60,85,6000,0,1200,1731
0,other,60,18,single,no_rec,fixed,35,54,0,0,700,969
0,parents,48,22,single,no_rec,partime,35,140,0,0,700,750
2,rent,60,31,single,no_rec,fixed,52,170,0,0,1300,1400
1,rent,48,22,single,no_rec,fixed,45,97,0,0,850,1000
4,rent,60,18,single,yes_rec,fixed,45,97,0,0,1250,1635
14,owner,60,26,married,no_rec,fixed,60,110,5500,2500,1000,1314
2,parents,36,25,married,no_rec,fixed,45,170,0,0,700,1090
1,parents,48,17,single,no_rec,fixed,35,210,0,0,1575,2082
7,parents,48,26,single,yes_rec,fixed,35,72,5500,0,1000,1051
20,owner,48,47,married,yes_rec,fixed,60,170,9000,0,1900,2320
15,owner,60,28,married,no_rec,fixed,45,90,3000,0,1200,1323
7,owner,60,47,widow,no_rec,fixed,35,112,4500,0,1350,1445
14,owner,18,43,married,no_rec,fixed,35,143,4000,0,250,300
4,rent,60,20,single,no_rec,fixed,50,150,0,0,1500,2600
11,owner,60,22,married,no_rec,fixed,45,190,3000,0,1200,1537
0,owner,60,56,widow,no_rec,others,35,230,50000,0,950,1150
10,priv,60,35,married,no_rec,fixed,60,154,1500,0,825,1075
10,owner,60,50,married,no_rec,freelance,60,273,10000,0,1000,1180
30,rent,60,47,married,no_rec,freelance,70,100,14500,0,1250,1563
13,rent,60,31,married,no_rec,fixed,79,191,4000,700,1000,1209
1,other,24,15,single,no_rec,partime,45,48,3000,0,700,980
2,other,18,20,married,yes_rec,freelance,60,54,0,0,850,1400
1,rent,48,29,married,no_rec,fixed,55,102,0,0,600,1074
1,owner,24,26,married,no_rec,fixed,35,207,10000,0,550,650
4,priv,60,25,married,yes_rec,fixed,60,74,1500,0,870,875
3,owner,60,25,married,no_rec,fixed,45,126,3500,2400,1000,1120
1,parents,60,21,single,no_rec,partime,35,120,0,0,1150,1300
1,rent,36,25,single,no_rec,fixed,49,141,0,0,700,850
3,parents,36,19,separated,no_rec,fixed,45,113,0,0,850,940
0,owner,48,19,married,no_rec,partime,35,150,5000,3130,1000,1404
7,owner,36,46,married,no_rec,fixed,75,100,12000,0,1000,1300
5,other,36,49,married,no_rec,fixed,45,300,0,0,800,1180
5,parents,60,23,single,no_rec,fixed,35,176,0,0,1190,1390
8,owner,60,27,married,no_rec,fixed,75,157,3500,1800,1300,1590
15,parents,60,29,married,no_rec,fixed,45,108,0,0,1000,1995
6,parents,60,25,married,no_rec,fixed,60,72,0,0,200,1083
3,priv,60,22,married,no_rec,fixed,35,215,5000,2800,1500,1682
13,other,60,26,married,no_rec,fixed,60,105,0,0,1200,1423
1,owner,36,21,married,no_rec,fixed,35,154,7000,1700,1400,1735
8,owner,36,26,married,no_rec,fixed,45,110,5000,2000,540,1102
4,owner,48,19,married,no_rec,fixed,35,95,2500,0,900,1625
10,owner,60,32,married,yes_rec,freelance,60,107,20000,600,1000,1175
10,parents,60,29,married,yes_rec,freelance,60,400,12000,0,2075,2253
0,other,60,35,married,yes_rec,fixed,75,260,2500,0,1500,1607
0,other,60,46,married,no_rec,freelance,60,198,0,0,1300,1321
5,owner,48,28,married,no_rec,fixed,75,158,4000,1100,1250,1550
4,owner,36,33,married,no_rec,freelance,35,142,4000,0,800,970
1,rent,48,31,married,no_rec,freelance,88,125,0,0,1500,1878
8,rent,60,20,married,yes_rec,fixed,73,280,0,0,600,1364
3,owner,36,36,married,no_rec,freelance,75,200,3000,0,1000,1000
15,owner,48,38,married,no_rec,freelance,60,100,18000,0,2500,2976
0,other,36,47,married,no_rec,freelance,45,74,0,0,500,1050
6,parents,60,33,married,no_rec,fixed,45,75,0,0,1175,1800
3,priv,24,42,married,no_rec,fixed,60,116,4000,1500,800,1000
1,owner,48,29,married,no_rec,others,60,45,2500,0,1000,1476
3,rent,48,21,married,yes_rec,freelance,45,70,0,0,1400,1704
0,rent,36,31,married,no_rec,partime,82,70,3500,0,500,1350
18,owner,60,43,married,no_rec,fixed,45,104,5500,25,800,1021
7,rent,60,27,married,no_rec,fixed,46,111,0,0,1200,1373
15,parents,60,30,single,no_rec,fixed,45,226,6000,2200,1350,1609
1,rent,36,34,separated,yes_rec,others,52,65,0,0,500,700
2,owner,48,36,married,no_rec,fixed,60,142,4000,0,2000,2465
40,owner,24,57,married,no_rec,freelance,60,130,15000,0,250,758
3,parents,18,16,single,yes_rec,fixed,35,75,0,0,500,1364
7,parents,60,28,single,no_rec,partime,35,70,0,0,1300,1438
17,owner,48,38,married,no_rec,fixed,75,251,5500,0,1100,1664
1,owner,48,37,married,no_rec,fixed,75,155,8000,0,600,1680
30,owner,60,49,married,no_rec,fixed,60,150,15000,0,1000,1388
6,owner,48,48,married,no_rec,freelance,60,178,15000,0,800,1371
7,rent,48,38,married,no_rec,fixed,44,92,0,0,1300,1653
0,owner,60,25,married,no_rec,fixed,45,80,2000,200,1000,1331
10,owner,36,34,married,no_rec,freelance,75,150,3000,0,1000,1394
1,rent,36,29,married,no_rec,freelance,94,189,15000,1500,1500,2435
11,owner,60,33,married,no_rec,fixed,60,153,3000,0,1650,1816
4,parents,30,25,single,no_rec,fixed,35,81,0,0,600,775
14,owner,48,38,married,no_rec,fixed,45,200,9000,0,600,1025
2,rent,48,17,married,no_rec,fixed,53,183,0,0,1300,1300
1,parents,36,18,single,no_rec,partime,35,75,0,0,350,425
3,parents,48,26,single,no_rec,fixed,35,120,0,0,1000,1100
0,other,48,38,married,no_rec,fixed,75,184,0,0,1400,1590
17,rent,60,53,widow,no_rec,fixed,48,131,0,0,1000,1658
1,owner,48,25,married,no_rec,freelance,60,30,4000,0,900,1700
8,owner,36,25,married,no_rec,freelance,45,80,7000,3000,1000,1734
3,owner,60,23,married,yes_rec,partime,60,122,5000,1000,800,1484
7,owner,60,23,married,yes_rec,fixed,60,148,8000,0,920,1021
1,rent,36,23,single,no_rec,freelance,52,170,0,0,350,1500
3,priv,60,49,married,no_rec,fixed,45,134,2000,0,1100,1286
3,parents,60,29,single,yes_rec,partime,35,80,0,0,1100,1265
9,parents,60,26,single,yes_rec,fixed,35,92,0,0,1000,1161
5,rent,60,37,separated,yes_rec,freelance,89,288,15000,0,1800,2148
3,owner,60,18,single,no_rec,partime,35,71,1500,0,1150,1386
10,rent,30,46,married,no_rec,fixed,60,150,0,0,1300,1378
7,owner,60,50,married,no_rec,fixed,45,124,5000,0,800,982
1,rent,60,23,married,no_rec,fixed,62,169,0,0,1200,2068
2,owner,48,29,married,no_rec,freelance,90,250,16000,2000,1500,1768
19,priv,60,49,married,no_rec,fixed,45,80,3500,0,1300,1534
8,rent,60,23,married,no_rec,fixed,53,177,0,0,1900,2530
45,owner,30,59,married,no_rec,freelance,45,157,20000,0,1000,1588
30,owner,12,47,married,no_rec,freelance,45,80,7000,0,1100,2487
12,owner,60,32,married,no_rec,fixed,90,80,5000,0,1600,1800
8,parents,12,22,single,no_rec,freelance,35,150,3000,0,275,550
0,owner,60,27,single,no_rec,partime,35,94,7500,0,1350,1583
2,other,48,18,single,no_rec,fixed,35,140,0,0,1950,2175
7,owner,12,46,married,no_rec,freelance,75,120,5000,0,250,375
3,other,36,20,single,no_rec,fixed,45,92,0,0,900,1270
10,owner,48,30,married,no_rec,partime,75,55,4000,0,1500,1786
6,parents,60,25,separated,no_rec,fixed,45,170,0,0,750,1674
40,other,60,56,married,yes_rec,fixed,60,242,0,0,1000,1100
1,rent,36,17,single,no_rec,fixed,59,136,0,0,450,2050
2,priv,60,48,married,no_rec,partime,75,170,3000,180,1900,2180
17,owner,60,42,married,no_rec,fixed,60,92,4500,0,1100,1194
0,parents,60,20,single,no_rec,partime,35,82,0,0,700,1715
4,owner,60,37,married,no_rec,fixed,75,135,4000,0,978,978
6,owner,6,45,married,yes_rec,freelance,75,100,30000,0,600,1282
1,owner,36,25,married,no_rec,freelance,75,154,6000,0,700,850
0,other,48,20,single,no_rec,fixed,35,139,0,0,1200,1202
1,owner,36,31,married,no_rec,partime,45,80,500,0,950,1566
22,owner,60,41,married,no_rec,fixed,90,214,8000,0,1120,1395
22,rent,36,46,single,yes_rec,freelance,35,70,0,0,350,950
0,owner,36,34,single,no_rec,freelance,35,77,4000,0,1000,1210
0,owner,24,32,married,no_rec,partime,60,90,3500,0,500,963
2,rent,48,29,separated,yes_rec,fixed,44,90,7000,0,600,1063
2,rent,36,27,married,no_rec,fixed,67,224,0,0,750,900
1,parents,24,17,single,no_rec,fixed,35,415,0,0,700,1757
9,rent,60,25,single,no_rec,fixed,48,126,0,0,600,1054
15,owner,24,49,married,no_rec,freelance,90,350,150000,0,3800,8800
5,rent,60,23,married,no_rec,freelance,77,171,0,0,2500,3070
4,owner,60,32,married,no_rec,fixed,60,185,3000,0,1200,1564
1,owner,36,36,single,yes_rec,freelance,35,176,15000,0,1500,2500
2,parents,24,21,single,no_rec,fixed,35,79,0,0,590,894
13,owner,60,47,married,no_rec,freelance,60,207,20000,0,1370,1714
15,owner,60,25,married,no_rec,fixed,60,140,4000,0,1500,1505
1,owner,60,17,married,yes_rec,fixed,45,230,2000,288,800,1588
12,rent,48,41,married,yes_rec,fixed,104,294,0,0,1350,1352
3,owner,24,46,married,no_rec,fixed,45,223,20000,0,1400,1581
25,owner,60,48,married,no_rec,fixed,60,107,4000,0,800,932
13,owner,60,23,married,no_rec,fixed,60,130,5000,1500,900,1281
3,owner,60,26,married,no_rec,fixed,45,176,4500,2500,1400,1607
8,other,24,28,married,no_rec,fixed,75,166,0,0,1150,1770
4,owner,12,27,married,no_rec,fixed,45,231,13000,290,400,1198
2,rent,60,20,single,no_rec,fixed,46,107,0,0,1500,2189
5,owner,6,47,married,no_rec,fixed,35,122,2000,0,250,1500
3,parents,48,17,single,no_rec,fixed,35,50,0,0,1100,1382
20,owner,36,39,married,no_rec,fixed,60,120,3000,0,350,400
0,owner,60,20,married,no_rec,fixed,75,141,3500,0,1250,1350
3,parents,60,14,single,no_rec,freelance,45,198,2500,0,1100,1194
4,rent,36,30,single,no_rec,fixed,46,110,0,0,1000,1642
6,owner,12,39,married,no_rec,fixed,45,110,15000,0,300,1801
11,priv,60,34,married,no_rec,fixed,60,120,3000,1000,1450,1499
10,rent,30,29,separated,no_rec,fixed,45,100,0,0,700,1480
0,owner,60,37,married,yes_rec,partime,35,90,3000,1500,1200,1438
4,priv,60,18,married,yes_rec,fixed,75,100,8000,1000,800,949
0,owner,48,26,married,no_rec,fixed,75,178,5000,0,1100,1487
1,rent,60,29,married,no_rec,fixed,58,130,0,0,1000,1101
2,rent,60,31,separated,yes_rec,freelance,35,53,0,0,2000,2676
3,owner,48,24,married,no_rec,fixed,45,145,3500,0,700,1104
0,owner,60,57,married,yes_rec,others,90,136,2650,0,600,790
1,rent,60,36,married,no_rec,fixed,52,65,0,0,850,882
1,other,48,28,married,yes_rec,freelance,75,103,0,0,1000,2218
1,rent,36,22,married,no_rec,fixed,55,100,0,0,1000,1300
22,parents,36,33,married,no_rec,fixed,75,110,2000,0,780,1785
6,rent,60,20,married,no_rec,fixed,55,100,0,0,1000,11140
5,rent,60,20,married,no_rec,freelance,72,121,0,0,2000,2200
20,owner,24,46,married,no_rec,fixed,45,185,10000,0,600,750
1,priv,48,29,married,yes_rec,freelance,45,200,3000,1500,1000,1191
29,owner,48,47,married,no_rec,fixed,60,118,6500,0,750,1255
9,rent,60,25,married,no_rec,freelance,73,129,0,0,800,846
1,owner,60,35,married,yes_rec,fixed,60,155,2500,0,1650,1650
14,rent,36,38,married,yes_rec,fixed,96,212,0,0,600,750
4,owner,60,37,single,no_rec,fixed,35,110,2500,0,1090,1565
20,owner,60,48,married,yes_rec,freelance,75,350,6500,0,800,1138
10,owner,60,45,married,no_rec,freelance,35,64,3500,0,700,985
1,owner,12,51,married,no_rec,others,60,52,3500,0,500,1705
20,owner,36,40,married,no_rec,freelance,75,333,5000,0,1000,2200
32,rent,60,42,separated,yes_rec,fixed,47,120,3000,0,1400,1995
1,owner,48,22,single,yes_rec,fixed,45,62,5000,0,1500,1788
14,parents,60,23,married,no_rec,fixed,45,140,0,0,1150,1301
3,parents,60,22,single,yes_rec,fixed,35,117,0,0,1500,2190
25,owner,48,44,married,no_rec,freelance,105,240,12000,4200,1660,1698
15,owner,12,50,married,no_rec,fixed,45,130,7000,0,200,1240
28,owner,24,54,married,no_rec,freelance,60,606,6000,0,1550,1760
0,rent,36,21,married,no_rec,fixed,95,198,0,0,575,650
3,owner,18,35,married,no_rec,fixed,45,140,4000,0,400,1772
5,owner,18,24,married,no_rec,fixed,45,142,6000,3000,450,1678
2,owner,48,44,married,no_rec,fixed,45,125,4000,0,500,1600
16,parents,60,36,married,no_rec,fixed,75,242,0,0,1300,1482
20,owner,48,53,married,no_rec,freelance,60,380,35000,0,1100,1150
1,parents,36,26,married,no_rec,fixed,35,61,4000,0,700,800
0,rent,60,23,married,no_rec,fixed,53,75,0,0,1100,1168
5,rent,60,39,married,yes_rec,freelance,75,232,5000,0,1800,1888
8,priv,60,40,married,no_rec,freelance,75,200,35000,0,800,1270
14,owner,36,45,married,no_rec,fixed,45,80,2500,0,600,1180
5,parents,36,16,single,yes_rec,fixed,35,62,0,0,250,375
4,rent,60,28,married,no_rec,freelance,82,69,0,0,2000,2216
10,owner,24,40,separated,no_rec,fixed,35,77,14000,0,200,300
4,rent,60,19,married,no_rec,fixed,52,70,0,0,1000,1315
10,owner,36,45,married,no_rec,freelance,75,135,7500,0,1000,1230
2,other,36,21,single,no_rec,fixed,35,63,0,0,300,1111
13,owner,60,40,married,no_rec,fixed,75,475,5000,0,1300,2300
20,owner,60,33,married,no_rec,freelance,60,184,15000,0,1000,1638
6,parents,60,19,separated,no_rec,fixed,45,220,3000,0,1600,1700
2,owner,60,30,single,no_rec,fixed,35,51,4000,0,1400,1628
0,parents,48,15,single,no_rec,partime,35,215,15000,0,1100,1100
0,owner,60,44,married,no_rec,freelance,60,189,3500,0,1600,1815
0,parents,60,19,single,no_rec,fixed,35,126,1500,0,900,1092
0,parents,60,19,single,yes_rec,partime,35,86,0,0,1400,1707
9,owner,48,21,married,no_rec,fixed,35,101,5000,0,500,1997
2,parents,24,30,married,no_rec,fixed,45,175,0,0,1000,2393
0,owner,60,33,married,yes_rec,partime,75,120,3500,0,1500,1702
9,other,48,19,single,no_rec,fixed,45,88,0,0,1200,1302
32,parents,42,48,married,no_rec,freelance,60,160,0,0,200,829
7,owner,36,36,married,no_rec,fixed,75,87,4500,0,2000,2104
4,parents,60,18,single,no_rec,fixed,35,80,10000,0,1000,1559
0,owner,36,37,married,no_rec,freelance,60,260,3000,250,1100,1288
20,owner,12,43,separated,no_rec,freelance,75,300,18000,0,760,1369
0,parents,60,34,single,no_rec,fixed,35,100,0,0,1000,1556
7,rent,60,19,single,no_rec,fixed,44,93,0,0,1100,1519
14,other,48,31,married,no_rec,fixed,35,251,0,0,1000,1550
8,owner,60,28,married,no_rec,freelance,45,250,10000,0,2500,3250
0,rent,60,31,married,yes_rec,fixed,85,100,0,0,1100,1256
11,other,12,36,single,no_rec,fixed,35,135,0,0,1000,1300
20,other,60,34,married,no_rec,fixed,60,119,0,0,1300,1639
1,owner,60,44,married,no_rec,fixed,105,531,47000,0,1400,1601
14,owner,36,28,married,no_rec,fixed,60,92,7000,0,800,1115
17,owner,48,43,married,no_rec,freelance,45,311,11500,200,2000,2284
0,owner,24,34,married,no_rec,others,35,54,10000,0,600,950
0,owner,12,17,single,no_rec,fixed,35,132,3500,0,300,509
7,owner,60,31,married,no_rec,fixed,90,120,6000,1500,900,1175
11,parents,48,45,married,no_rec,fixed,105,60,0,0,1500,1637
15,owner,36,35,married,no_rec,fixed,60,230,8500,480,700,1400
2,rent,60,48,widow,no_rec,fixed,46,114,0,0,1050,1348
5,rent,48,26,married,no_rec,fixed,70,247,0,0,900,1039
2,rent,36,49,married,no_rec,fixed,54,187,0,0,1200,2050
6,priv,60,40,married,no_rec,fixed,60,169,2500,300,1250,1565
3,owner,60,33,married,no_rec,freelance,60,100,18000,0,1500,2360
2,parents,60,19,single,no_rec,fixed,35,101,0,0,1600,1600
11,parents,24,23,single,no_rec,fixed,35,82,0,0,400,800
5,owner,24,21,married,no_rec,fixed,45,147,10000,300,450,1522
1,owner,42,30,married,no_rec,fixed,75,54,6000,0,1000,1900
2,rent,36,19,married,no_rec,fixed,71,113,0,0,700,1338
19,ignore,36,38,married,no_rec,fixed,75,110,2000,300,700,1553
19,parents,12,36,married,no_rec,freelance,90,190,500,0,500,1600
25,ignore,36,43,married,yes_rec,freelance,60,82,20000,0,1200,1588
0,rent,48,15,single,yes_rec,partime,56,105,0,0,1100,1289
25,owner,48,50,married,no_rec,fixed,60,139,5000,0,1000,1300
13,other,36,30,married,no_rec,fixed,75,70,0,0,450,450
6,parents,60,21,single,no_rec,fixed,35,92,0,0,600,1300
8,other,48,25,married,no_rec,fixed,75,156,0,0,1100,1310
12,priv,60,33,married,yes_rec,fixed,90,195,1500,200,1150,1310
10,owner,6,30,married,yes_rec,freelance,75,50,6000,1500,500,983
1,other,36,23,single,no_rec,freelance,35,100,0,0,1950,2074
1,rent,60,30,widow,no_rec,fixed,45,100,0,0,1250,1400
6,parents,60,23,married,no_rec,freelance,90,325,7000,0,1200,1211
2,rent,60,24,married,yes_rec,fixed,69,91,0,0,1000,1268
2,owner,48,33,married,no_rec,fixed,75,90,7000,2000,500,1039
17,rent,24,45,married,no_rec,freelance,68,79,1000,0,1000,3782
3,rent,36,40,married,no_rec,freelance,61,155,10000,0,1000,1500
1,rent,48,31,married,no_rec,partime,101,112,0,0,1550,1839
1,rent,36,32,married,yes_rec,fixed,97,71,0,0,1300,1700
11,priv,48,26,married,no_rec,fixed,45,140,4000,0,700,1225
1,parents,12,19,single,no_rec,fixed,35,128,0,0,300,1056
20,owner,18,57,married,no_rec,fixed,60,125,5000,0,500,1150
5,ignore,48,46,divorced,no_rec,fixed,35,95,6000,0,500,645
16,owner,60,27,married,no_rec,fixed,45,110,6000,2000,1400,1830
6,owner,36,37,married,no_rec,fixed,105,151,48000,0,1635,1635
6,owner,60,48,married,no_rec,freelance,45,50,16000,0,1000,1505
